id,type,scenario,setup,expected,status,evidence
"S70-001","automated","Explicit microphone activation required","User activation false","Voice session is rejected and microphone remains idle.","pass","tests/cook-before-it-spoils-step-70-voice-safety.test.js"
"S70-002","automated","Supported microphone session lifecycle","User activation true with account/session binding","Session enters ready/listening and records no raw audio.","pass","tests/cook-before-it-spoils-step-70-voice-safety.test.js"
"S70-003","automated","Permission denied fallback","Recognition permission denial","Accessible fallback displays keyboard and Pantry form controls.","pass","tests/cook-before-it-spoils-step-70-voice-safety.test.js"
"S70-004","manual-real-browser","Permission accepted in real browser","Real user grants microphone permission","Visible listening indicator appears with Stop Listening control.","blocked","Requires real browser microphone permission not available in this run."
"S70-005","manual-real-browser","Permission denied in real browser","Real user denies microphone permission","No prompt loop; fallback remains available.","blocked","Requires real browser permission prompt not available in this run."
"S70-006","manual-real-browser","Permission revoked while listening","Browser permission revoked mid-session","Session stops, tracks release, transcript clears.","blocked","Requires real browser permission controls not available in this run."
"S70-007","automated","Speech API unavailable","No SpeechRecognition API","Fallback is rendered without storing transcript.","pass","tests/cook-before-it-spoils-step-70-voice-safety.test.js"
"S70-008","automated","Device unavailable and disconnected errors","No input device and disconnected device errors","Failure reasons are deterministic.","pass","tests/cook-before-it-spoils-step-70-voice-safety.test.js"
"S70-009","automated","Network and language recognition errors","Network interruption, no speech, unsupported language","Safe failure reason is shown and no retry loop starts.","pass","tests/cook-before-it-spoils-step-70-voice-safety.test.js"
"S70-010","automated","Late callback isolation","Account, session, and epoch mismatch callbacks","Callbacks are ignored after account/session changes.","pass","tests/cook-before-it-spoils-step-70-voice-safety.test.js"
"S70-011","automated","Pantry voice phrase review","Two cans of tomatoes in the pantry.","Editable draft shows tomatoes, quantity 2, cans, can size required, no auto-save.","pass","tests/cook-before-it-spoils-step-70-voice-safety.test.js"
"S70-012","automated","Protected command policy","Delete allergy, remove diet, discard food, freeze food, complete meal, cancel meal, delete Pantry data","Voice opens pending visible review only.","pass","tests/cook-before-it-spoils-step-70-voice-safety.test.js"
"S70-013","automated","Generic confirmation rejection","Voice says yes/ok/confirm","Sensitive action does not execute.","pass","tests/cook-before-it-spoils-step-70-voice-safety.test.js"
"S70-014","automated","Privacy-safe event payload","Voice telemetry/audit payloads","No raw audio, transcript, food, allergy, diet, meal, waste, or disability inference is stored.","pass","tests/cook-before-it-spoils-step-70-voice-safety.test.js"
"S70-015","automated","Legacy voice storage migration","Legacy transcript/audio keys exist","Keys are removed idempotently.","pass","tests/cook-before-it-spoils-step-70-voice-safety.test.js"
"S70-016","automated","No disability inference","Accessibility preferences and voice fallback use","No disability diagnosis or inferred disability field is created.","pass","tests/cook-before-it-spoils-step-70-voice-safety.test.js"
"S70-017","manual-assistive-tech","Screen reader fallback announcement","Screen reader user starts unavailable voice entry","Fallback heading, text, and buttons are announced clearly.","blocked","Requires real screen reader/browser combination not available in this run."
"S70-018","manual-mobile","Mobile device disconnection","Phone microphone changes or disconnects","Session stops and fallback remains usable.","blocked","Requires mobile hardware not available in this run."
